year,make,model,price,miles,trim,body_type,vehicle_type,drivetrain,transmission,fuel_type,engine_size,motor_type,standard_type,epa_rating_city,total_actual_miles,total_actual_fuel,epa_expected_fuel,actual_fuel_economy_geotab,percent_difference_actual_to_epa,estimated_fuel_costs_per_gallon,fuel_costs_per_mile
2008,Chevrolet,Express,15900.0,73501.0,Base,Passenger Van,Truck,RWD,Automatic,Unleaded,6.0,Non-Hybrid,VAN,13,413,65.0,31.77,6.35,-0.51,$162.50 ,$0.39 
2008,Chevrolet,Express,11000.0,138395.0,Base,Passenger Van,Truck,RWD,Automatic,Unleaded,6.0,Non-Hybrid,VAN,13,413,65.0,31.77,6.35,-0.51,$162.50 ,$0.39 
2008,Chevrolet,Express,9250.0,142075.0,Base,Passenger Van,Truck,RWD,Automatic,Unleaded,6.0,Non-Hybrid,VAN,13,413,65.0,31.77,6.35,-0.51,$162.50 ,$0.39 
2008,Chevrolet,Express,9995.0,89890.0,Base,Passenger Van,Truck,RWD,Automatic,Unleaded,6.0,Non-Hybrid,VAN,13,413,65.0,31.77,6.35,-0.51,$162.50 ,$0.39 
2008,Chevrolet,Express,24999.0,87313.0,Base,Passenger Van,Truck,RWD,Automatic,Unleaded,6.0,Non-Hybrid,VAN,13,413,65.0,31.77,6.35,-0.51,$162.50 ,$0.39 
2008,Ford,Focus,5495.0,121760.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,4585.0,117315.0,SE,Coupe,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,3995.0,156367.0,S,Coupe,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,5995.0,98545.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,3400.0,165788.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,6995.0,155590.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,5995.0,157194.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,5219.0,167587.0,S,Coupe,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
